" A spy? Very foolish of you. It will be difficult to report to him when you are dead, won't it? "," ¿Una espía? Es muy tonto por tu parte. Será difícil contárselo a él cuando estés muerta, ¿o no? "
"Oh, how nice. A joiner. Well, you've worked hard enough for a look-see. But if you really want to join, then you'll have to take the Second Test.","Oh, qué bonito. Una aspirante, has trabajado duro para que te tenga en cuenta. Pero si quieres unirte tendrás que superar una Segunda Prueba."
"Oh, my, you are brighter than I thought. Now you know why we need your Vault.","Oh, vaya, eres más lista de lo que pensaba. Ahora ya sabes porqué queremos tu Refugio."
"Oh, no. I'm so afraid. Life is so hard. Loxley, I'd rather be a coward for all of my life than to have a single moment of triumph. Ah, just another wanker, aren't you. Out!","Oh, no. Tengo tanto miedo. La vida es tan dura. Loxley, prefiero ser un cobarde toda mi vida a gozar de un solo momento de triunfo. Bah, no eres más que otra gilipollas, ¿no? ¡Largo de aquí!"
"Oh, say 'hi' to that... Kill... again? I forget his name, but he's a decent fellow. I wonder how he's doing.","Oh, decir ""hola"" a esa... asesi... ¿otra vez? He olvidado su nombre pero es una tipa decente. Me pregunto cómo le va."
"Oh, sorry. I didn't realize you're an idiot.","Oh, lo siento. No me daba cuenta de que eras una idiota."
"Oh, that's right. Here's your reward. (He hands you what looks like a hand-held miniature chainsaw.) There used to be a gang here that used these. Feel free to kill some of those bastard Deathclaws with it. See'ya 'round.","Oh, es verdad. Aquí tienes tu recompensa. (Te entrega lo que parece una motosierra de una mano) Solía haber una pandilla por aquí que las utilizaba. No dudes en matar algunas de esas malditas Garras Mortales con ella. Hasta luego."
"Oh. I thought someone who'd been through the wastes outside would be, well, smarter. Never mind.","Oh. Pensaba que alguien que ha estado por ahí fuera, en el yermo, sería, bueno, más lista. No importa."
"Okay, I'll do it. But if you keep acting like a raider, you'll die like a raider.","Vale, lo haré. Pero si sigues comportándote como una saqueadora, morirás como una saqueadora."
"Okay, okay. I've got nothing to hide. Look for yourself.","Vale, vale. No tengo nada que ocultar. Míralo tú misma."
"Okay, the caravan crew for L.A. Boneyard is ready and waiting.","Vale, el equipo de la caravana para el Cementerio está listo y espera."
"Okay, well let's have a look then. Hold still for a moment.","Vale, echemos un vistazo. Quédate quieta un momento."
"Okay, you're ready for duty. (You move your limbs and can feel the increased speed and control) All I ask of you is to please not damage my masterpiece.","Vale, estás lista. (Mueves tus extremidades y notas que reaccionan mejor y más deprisa.) Todo lo que te pido es que no estropees mi obra maestra."
"Okay. So you got any dirt for your old friend?","Veamos. ¿Tienes algo que contarle a tu vieja amiga?"
"Okay. Suit yourself. When they get back here, you can be their dinner.","Vale. Sírvete tú misma. Cuando vuelvan aquí, serás su almuerzo."
"Okay. Well, it's like a damn big man, is what it is. Got spikes and claws that can cut through the heaviest armor. But don't let the size fool ya, it's quick.","Vale. Bueno, es jodidamente grande, tía, sí que lo es. Tiene pinchos y garras que pueden cortar la armadura más pesada. Pero no te dejes engañar por el tamaño, es muy rápida."
"Once upon a time, there was a little traveller who walked around the world. He walked up to a young lady named Laura and asked her to tell him a story. The end.","Hace mucho tiempo, había una pequeña viajera que caminaba por el mundo. Camino hasta una joven señorita llamada Laura y le preguntó si ella podía contarle una historia. Fin."
"Once, you had potential. You are no longer welcome here.","Antes tenías potencial. Pero ya no eres bienvenida aquí."
"One less vermin in L.A. Boneyard","Una canalla menos en el Cementerio de LA"
"One moment while I check out your story. You might be telling the truth. Guards! Take this human to the reactor core. Deal with the problem before it's too late.","Un momento, voy a comprobar tu historia. Puede que digas la verdad. ¡Guardias! Llevad a esta humana al corazón del reactor. Ocupémonos del problema antes de que sea tarde."
"Oof! Insolent cur! Feel my wrath!","¡Uf! ¡Chucha insolente! ¡Siente mi furia!"
"Oof! Insolent dog!","¡Uf! ¡Perra insolente!"
"Oof! You punks are all alike...","¡Uff! Todos las mocosas sois iguales..."
"Ooh, a little back and forth. I like someone who plays the edge. I think you'll be a great addition to our merry little band. What say you?","Ooh, un tira y afloja. Me gustan las que juegan al límite. Creo que serás una buena adquisición para nuestra feliz y pequeña banda... ¿Qué me dices?"
"Ooo! I'm going to bury you alive in the Glow!","¡Ooo! ¡Voy a enterrarte viva en el Ardor!"
"Ooo! You is deader than an albino in the Glow","¡Ohh! Estás más muerta que una albina en el Ardor"
"Ooo! You is digging your grave, punk","¡Ohh! Estás cavando tu tumba, tía"
"Ooo! You're digging your grave, punk","¡Ooo! Estás cavando tu tumba, amiga"
"Ooo, you're getting serious!","¡Ohh, te estás poniendo demasiada seria!"
"Ooo... You punk!","Ooo... ¡novata!"
"Ooooo, nice move pal","Ohhhh, bonito movimiento, tía"
"Oooooo, that was a cheap one, punk.","Ohhhhh, eso ha sido un golpe bajo, mocosa"
"Oooooo, you are true evil!!","¡Ohhh, eres una verdadera demonio!"
"Oooooo, you dirty little...","Oooooo, tú, pequeña y sucia..."
"Oooooo. You sadistic son of a...","Ohhhhh. Eres una sádica hija de..."
"Otherwise I'll just give it to someone else, don't worry about it. You're not obligated... until you leave with the caravan, right?","Si no, se lo daré a otro, no te preocupes por eso. No estás obligada a nada... hasta que salgas con la caravana, ¿vale?"
"Ouch! Damn you!","¡Auch! ¡Maldita seas!"
"Ouch! That was mean!","¡Auch! ¡Has sido mala!"
"Our pay's 200 caps. It's not that great, but we go out often and our routes aren't too dangerous and yes, like everyone else, that is for each way, but of course you don't have to go both ways. ","El sueldo es de 200 chapas. No es tanto, salimos a menudo y nuestras rutas no son demasiado peligrosas, y sí, es solo para la ida pero no estás obligada a hacer el viaje de ida y vuelta. "
"Outsiders? What do you mean by that?","¿Forasteras? ¿Qué quieres decir con eso?"
"Ow! Damn you!","¡Ah! ¡Maldita seas!"
"Ow! I am prepared for your kind!","¡Oh! ¡Estoy preparado para las tipas como tú!"
"Ow! I'm gonna fuck you up","¡Oh! Te voy a joder viva"
"Ow! Mommy, the bad man is hurting me!","¡Oh! ¡Mami, esa mujer mala me está haciendo daño!"
"Ow! Ow! You're mean!","¡Oh! ¡Oh! ¡Eres mala!"
"Ow! Piss off you brat!","¡Oh! Vete al infierno, mocosa!"
"Ow! You dirty stinking Glow Baby!","¡Oh! ¡Apestosa Bebé del Ardor!"
"Ow! You disgrace yourself","¡Oh! Te deshonras a ti misma"
"Ow! You dog!","¡Oh! ¡Perra!"
"Ow! You son of a bitch","¡Ah! Hija de puta"
"Ow! You son of a...","¡Oh! Hija de..."
"Ow! You're mean!","¡Ay! ¡Eres mala!"
"Oye, muchacho, allow me to introduce myself: I am Hernandez, a man of mucho gusto! You look like you are new here. Please, allow me to be your informant about the casino.","Oye, muchacha, déjame presentarme: Soy Hernández, ¡un tío de mucho gusto! Parece que eres nueva aquí. Por favor, permíteme hablarte del Casino."
"Pathfinder","Rastreadora"
"Peace, love, and Unity, of course. What else could we be about? But you can discover these things for yourself. Goodbye.","Paz, amor y Unidad, claro. ¿Sino que otras cosas podrían ser? Pero podrás descubrir todo esto por ti misma. Adiós."
"Perks add additional abilities. You can choose one perk every third experience level, or every fourth experience level if you have the Skilled trait.","Las Ventajas añaden habilidades adicionales. Podrás elegir una Ventaja cada tercer nivel de experiencia, o cada cuatro si has elegido el rasgo Habilidosa."
"Pfffftttt... Chrrrr...","Pfffftttt... chrrrr..."
"Please, talk to Seth. He knows much about these raiders. And God speed, wanderer.","Por favor, habla con Seth. Él sabe mucho sobre estos saqueadores. Que Dios te ampare, moradora."
"Plenty, so long as you stay on our good side. We got Killian Darkwater's store, where you can do some trading. And there's Gizmo's Casino, if you're a gambler. Or if you just want a drink, you can head on over to the Skum Pitt. Just don't get too rowdy.","Muchas cosas mientras estés de nuestra parte. Tenemos el establecimiento de Killian Darkwater donde puedes hacer negocios. Y está el Casino de Gizmo, si eres jugadora. O si deseas tomarte una copa, puedes ir a la Fosa Común. Lo único que te aconsejo es que no hagas demasiado ruido."
"Pretty cute, but I'm not really into your kind.","Pareces una buena chica, pero no soy tu tipo."
"Proud? Why? You're all just a bunch of robotic hop-heads, hiding from the real world. There's nothing to be proud of there.","¿Orgullosa? ¿Por qué? Sois una panda de tíos robotizados que se esconde del mundo real. Yo no veo nada de que sentirme orgullosa."
"Psychotic killer? Who, me!","¿Asesina psicópata? ¿Quién, yo?"
"Quit wasting my time kid","Deja de hacerme perder el tiempo, chica"
"Quite simple, really. You prove yourself as a thief. Succeed, and the world is yours! If not, then you'll never see us again. Except if you come looking. And if you don't understand, that last bit is a threat.","En realidad es bastante simple. Tienes que demostrar que eres una ladrona. Si triunfas, ¡el mundo es tuyo! Si no, nunca nos volverás a ver. A no ser que nos andes buscando. Y por si no lo entiendes, la última parte es una amenaza."
"Razlo's a great doctor. You should go see him if you're hurt.","Razlo es un médico genial. Deberías ir a verlo si estás herida."
"Ready for some more punishment?","¿Preparada para recibir más daño?"
"Ready to go.","Estoy lista para partir."
"Ready to go? We leave today.","¿Estás lista? Nos vamos hoy."
"Ready to go? We're leaving today.","¿Lista? Nos vamos hoy."
"Reasonable. One moment. Are you sure? What about the other females? It cannot be. Be.","Es razonable. Un momento. ¿Estás segura? ¿Qué hay de las otras hembras? No puede ser. Ser."
"Richard Grey was a doctor. Little older than me, and friend, was he smart. He found the source.","Richard Grey era un médico. Era algo más mayor, y amiga, era listo. Encontró el origen."
"Robots and such. Lot of 'em. Damn surprised they was still running after all this time, what with the war and all. Whoa boy, they tore us a good one.","robots y cosas así. Un montón. Nos sorprendimos de que siguiesen funcionando después de tanto tiempo, tras la guerra y eso. ¡Oh, muchacha, nos dieron una buena!"
"Roses won't do that, silly! Only people can change the world. And with the Holy Flame as our Master, we'll be sure to make everything nice and special! So, would you like a flower?","¡Las rosas no pueden hacer eso, tonta! Solo las personas pueden salvar el mundo. Y con la Llama Sagrada como Maestra, ¡estamos seguros de que todo será especial y agradable! Bueno, ¿quieres una flor?"
"Scout","Exploradora"
"Scream child! In pain there is redemption!","¡Grita, niña! ¡En el dolor está la redención!"
"Scrounger","Gorrona"
"See you around, Initiate. You're not so bad... for an Outsider.","Ya nos veremos, Iniciada. No eras tan mala... para ser una forastera."
"Sharpshooter","Tiradora de Élite"
"Shut up you son of a bitch! Pull yourself together!","¡Cállate, hija de perra! ¡Lárgate de aquí!"
"Shut up, asshole! Moral standards! It sure as hell ain't here!","¡Calla necia! ¡Moralidad! ¡Tan seguro como que esto no es el infierno!"
"Since you brought my Tandi back to me, things are quite fine. My eternal gratitude to you, wanderer.","Desde que me has traído a Tandi de vuelta a casa, las cosas han ido bien. Te estaré eternamente agradecido, moradora."
"Sinner!","¡Pecadora!"
"Sir, I am a healer. You have no need for my services.","Señora, soy un curandero. No necesita mis servicios."
"Sir, I have already given you medication. I dare not administer a second dose now.","Señora, ya tiene tus medicinas. No me atrevo a administrarle una segunda dosis."
"Sir, forgive me, but I have no patience for long conversation. There are other people who may instruct you better than I. Please, excuse me.","Señora, perdóneme, pero no tengo la paciencia suficiente para mantener conversaciones largas. Otras personas podrían informarle mejor. Por favor, discúlpeme."
"Sir, you are injured. I can treat you if you wish. I am a healer.","Señora, está herido. Si quiere puedo hacer algo. Soy un curandero."
"Sir, you are seriously injured. I strongly recommend that you permit me to treat you. I am a healer.","Señora, está gravemente herido. Debería permitir que le tratase. Soy un curandero."
"Skaggin' jerk!","¡Maldita idiota!"
"Skilled","Habilidosa"
"Slayer","Asesina"
"Small Frame","Enjuta"
"Small places like Shady Sands would not be able to survive without the help of a healer. Our doctor, Razlo, lives to the south. If you are seriously hurt, see him. Try not to bother him at night, though. He's a pretty cranky person without his sleep.","Los lugares pequeños como Arenas Sombrías no podrían sobrevivir sin la ayuda de un curandero. Nuestro médico, Razlo, vive en la parte sur. Si estás gravemente herida, ve a verlo. Intenta no molestarlo por la noche, por cierto. Si no duerme se vuelve muy irritable."
"Snakeater","Comedora de Serpientes"
"Sniper","Francotiradora"
"So be it, wanderer. Seth will show you out.","Pues hazlo, moradora. Seth te enseñará el camino."
"So be it. You shall have three Paladins of my choosing to meet you at the Military Base to help you get inside. Elders, thank you for your time. Best of luck to you Initiate.","Vale. Tres Paladines de mi elección se encontrarán contigo en la base militar para ayudarte a entrar. Ancianos, gracias por vuestro tiempo. Que tengas suerte, Iniciada."
"So be it. You shall have two Paladins of my choosing to meet you at the Boneyard Cathedral. Elders, thank you for your time. Best of luck to you Initiate.","Vale. Dos Paladines de mi elección se encontrarán contigo en la Catedral del Cementerio. Ancianos, gracias por vuestro tiempo. Que tengas suerte, Iniciada."
"So you are a thief? I will show you what we do with thieves...","¿Así que eres una ladrona? Te mostraré lo que hacemos con las ladronas..."
"So you're a mercenary. Fine, I'll give you 100 caps.","Así que eres una mercenaria. Está bien, te daré 100 chapas."
"So you're a tough guy, huh? Just lookin' for another fight?","Así que eres una tipa dura, ¿eh? ¿Buscas otra bronca?"
"So you're the water thief! You traitor!","¡Tú eres la ladrona de agua! ¡Traidora!"
"So, a human. This is very interesting. You will come with me to the Lieutenant, or you will perish right here.","Anda, una humana. Qué interesante. Vendrás conmigo a ver al Teniente, o morirás aquí mismo."
"So, this punk likes going downstairs","Así que a esta tipa le gusta ir a las partes bajas"
"So, you are a Follower?","Así que, ¿eres una Seguidora?"
"So, you think you're tough, huh? Mess with me and we'll both find out.","Así que piensas que eres muy dura, ¿eh? Métete conmigo y lo comprobaremos."
"Some members of the Brotherhood might be offended if a stranger... I mean, a new Initiate... approaches them with a weapon.","Algunos miembros de la Hermandad pueden sentirse ofendidos si una extraña... quiero decir, un recién Iniciado... se les acerca con un arma."
"Someone wants to bother us? Who is this imbecile!","¿Alguien quiere molestarnos? ¿Quién es la imbécil?"
"Son of a bitch","Hija de puta"
"Son of a bitch, I'm a puzzle! Will you help me put myself together?","Hija de perra, ¡estoy hecho un lío! ¿Me ayudarás a aclararme las ideas?"
"Sorry doesn't cut it. You've put Decker at an unacceptable risk. You can consider yourself an enemy of the Underground from now on. I don't ever want to see your face in here again.","No vale decir lo siento. Has puesto a Decker en un riesgo inaceptable. Puedes considerarte una enemiga de los Clandestinos a partir de ahora. Tampoco quiero volver a ver tu cara por aquí."
"Sorry kid, you're on your own!","Lo siento chica, ¡estás sola en esto!"
"Sorry man, got things to do. Nice chattin' with you, though.","Lo siento, tía, tengo cosas que hacer. Pero ha sido un placer hablar contigo."
"Sorry pal, but idiots are too big of a credit risk. Get out of here.","Lo siento, colega, pero es demasiado peligroso prestarle chapas a una idiota. Lárgate ya."
"Sorry you feel that way. Not as sorry as you're gonna be, though. Can't let word of this get out. Izo, show our new friend what we do with people who say no to me.","Siento que pienses así. Aunque no tanto como lo vas a sentir tú. Que no salga ni una palabra de aquí. Izo, muéstrale a nuestra nueva amiga lo que hacemos con la gente que me dice que no."
"Sorry, I can't understand you. Come back when you get more of a brain.","Lo siento, no te comprendo. Vuelve cuando seas más lista."
"Sorry, I'm a little low on caps right now. Can I get a raincheck?","Lo siento, ahora mismo ando algo falta de chapas. ¿Puedo dejarlo para otro momento?"
"Sorry, I'm kind of pressed for time.","Lo siento, estoy justa de tiempo."
"Sorry, I'm not in the mood to talk to rude people.","Lo siento, no estoy de humor para hablar con maleducadas."
"Sorry, I'm not that familiar with the Children.","Perdóname pero no estoy demasiado familiarizada con los Niños."
"Sorry, can't talk, Initiate.","Lo siento, no puedo hablar, Iniciada."
"Sorry, kid. I'm not a flower kinda guy.","Lo siento, chico. No soy muy amiga de las flores."
"Sorry, mi amigo. Hey, let me show you a neat game... ","Lo siento, manita. Eh, déjame enseñarte un juego..."
"Sorry. I'm lost. I'll leave now.","Lo siento. Estoy perdida. Me iré ahora."
"Sorry. Much too busy.","Lo siento. Estoy muy ocupada."
"Spare me the idle threats, boy. I kill children like you in my sleep. Hand over your belongings, and I may let you live.","Ahórrate las amenazas absurdas, colega. Asesino a tíos como tú dormida. Dame todo lo que llevas y te dejaré vivir."
"Speaker","Oradora"
"Stand down!","¡Quédate quieta!"
"Stand still for a second","Quédate quieta un segundo"
"Stay sharp Initiate!","¡No te muevas, Iniciada!"
"Stay sharp, Initiate!","¡Mantente firme, Iniciada!"
"Step right up, stranger!","¡Quieta ahí, forastera!"
"Still alive I see! Well, you must not have made any new friends recently. I hope you keep an eye out for them.","¡Veo que todavía estás viva! Bueno, no debes haber hecho muchos amigos últimamente. Espero que no les quites ojo."
"Stop by again, but stay healthy next time.","Vuelve otra vez por aquí, pero sana."
"Stop him! Stop him! Stop him! Somebody make him stop!","¡Paradla! ¡Paradla! ¡Paradla! ¡Que la pare alguien!"
"Stop wasting my time, Initiate.","No me hagas perder el tiempo, Iniciada."
"Strider Elite.","Viajera de Élite."
"Strider of the Wastes.","Viajera del Yermo."
"Strider.","Viajera."
"Striding Hero.","Heroína Viajera."
"Stupid! Oh. I'm so disappointed you feel this way. Ah, well, our little Circle will just have to carry on without your scintillating presence. So sad. Jasmine, the door for our guest. And no return privileges, hmm?","¡Estúpida! Oh. Me decepciona tanto que lo veas así. Ah, en fin, nuestro humilde Círculo tendrá que seguir sin tu deslumbrante presencia. Qué pena. Jasmine, acompaña a nuestro invitado. Y no esperes privilegios, ¿eh?"
"Submit to divine authority, and you will be healed!","¡Sométete a la autoridad divina y serás purgada!"
"Suffer, human!","¡Sufre, humana!"
"Suit yerself.","Sírvete tú misma."
"Sure is. I picked it myself from a grove across town. Well, it was nice meeting you. May the Master bless you.","Claro que lo es. La recogí yo mismo de un bosquecillo de la ciudad. Me ha encantado conocerte. Bendita seas por el Maestro."
"Sure she did. I think you should leave outsider.","Seguro que sí. Creo que debes irte, extranjera."
"Sure, great. You're hired. Wait. What position? Oh, caravan guard, right? Yeah, sure. You can work for us. You look okay. Anything else?","Claro, fantástico. Estás contratada. ¿Qué tipo de trabajo? ¿Qué tal guardia de caravanas? Vale. Puedes trabajar para nosotros. Me gustas. ¿Algo más?"
"Sure. Redeemed. Sounds good. ","Claro. Redimida. Me parece bien. "
"Surprised, punk?","¿Sorprendida, mocosa?"
"Swine!","¡Cerda!"
"Take him!","¡Cógela!"
"Take off, you hoser, before one of us decides to tear you up.","Despega, niñata, antes de que uno de nosotros decida hacerte tiras."
"Take your cash, your attitude, and your small prick somewhere else!","¡Vete de aquí con tus chapas, tu actitud y tus ovarios!"
"Talk to him?! Are you crazy?","¡¿Hablar con él?! ¿Estás chiflada?"
"Terminate the intruder","Exterminar a la intrusa"
"Thank the gods!!! Here's your money. You'll always be welcome in Adytum, my son.","¡¡¡Gracias a los dioses!!! Aquí están tus chapas. Siempre serás bienvenida en Adytum, hija mía."
"Thank you stranger! I don't know how many weeks, perhaps months, those thugs have had me here. I'm very grateful for your help, and I'm sure the Brotherhood of Steel is also.","¡Gracias extranjera! No sé cuántas semanas, quizás meses, me ha tenido aquí esta gente. Te agradezco mucho tu ayuda y seguro que la Hermandad del Acero también lo estará."
"Thank you very much, mi amigo! (He accepts 100 caps from you.) In a few days, I shall be able to pay you back, with interest. My system is slow, you see, it requires much patience, but it will most certainly reap great profits!","Muchas gracias, ¡manita! (Acepta las 100 chapas que le das.) Dentro de unos días podré devolverte tus chapas con intereses. Mi sistema es lento, ya ves; exige mucha paciencia, ¡pero seguro que trae muchas chapas!"
"Thank you! Oh thank you! May the Master bless you. Bye.","¡Gracias! ¡¡Gracias!! Bendita seas por el Maestro. Adiós."
"Thanks for all your help. Here's 500 caps. You're always welcome in Junktown, friend.","Gracias por tu ayuda. Aquí tienes 500 chapas. Siempre serás bien recibida en Ciudad Vertedero, amiga."
"Thanks for such a lovely moment. Jasmine, show our guest out.","Gracias por este momento tan encantador. Jasmine, enséñale la salida a nuestra invitada."
"Thanks, stranger. (She pockets the caps and blows you a kiss)","Gracias, extraña. [se guarda las chapas y te lanza un beso]"
"That is fine, my child. We will examine you now.","Está bien, niña mía. Te examinaremos ahora."
"That is life, man! It's like being drunk; look at it one way, and it's a piss poor embarrassment! Look at it a different way, and it feels great! But it's all the same thing! It's all life!","¡Así es la vida, tía! Es como estar borracho; por un lado es una vergüenza, ¡pero por el otro lado, te sientes genial! ¡Pero al final todo es igual! ¡Así es la vida!"
"That is not my vulnerable spot, human!","¡Ese no es mi punto vulnerable, humana!"
"That is quite enough, wanderer. Seth will show you out of the city. Do not return. Your welcome will not be pleasant.","Ya ha sido suficiente, moradora. Seth te dirá cómo salir de la ciudad. No vuelvas. Tu bienvenida no será agradable."
"That should do, all fixed up.","Eso debería ser suficiente, estás lista."
"That was a bad move, my friend","Ese ha sido un mal movimiento, amiga"
"That wasn't too bad. If you want to come back with us to the Hub, you're welcome to. We'll pay you another 400 caps.","No ha estado mal. Si quieres volver con nosotros al Eje, serás bien recibida. Te pagaré otras 400 chapas."
"That's it, freak! You will pay for that!","Eso es, ¡abominación! ¡Pagarás por eso!"
"That's it, you're fucking dead!","¡Suficiente, estas jodidamente muerta!"
"That's it. I warned the Elders that bringin' in an Outsider could be trouble. [shouting aside] Guards! There's an Initiate here who needs some quiet time to discover some manners. ","Eso es. Advertí a los Ancianos que introducir a un Forastero podría traer problemas. [Gritando a un lado] ¡Guardias! Aquí hay una Iniciada que necesita un poco de tranquilidad para refinar sus modales. "
"That's none of yer business, stranger.","Eso no es asunto tuyo, forastera."
"That's not an answer. They call you assassin, thief, grave-robber. They say you'll kill anyone who gets in your path. Is it true?","Eso no es una respuesta. Ellos te llaman asesinoa, ladrona, ultrajadora de tumbas. Dicen que matas a todo el que se interponga en tu camino. ¿Es cierto?"
"That's okay, I guess. May the Master bless you. Bye.","Supongo que vale. Bendita seas por el Maestro. Adiós."
"That's too bad. May the Master bless you anyway.","Es una pena. Bendita seas por el Maestro a pesar de todo."
"The Khans only accept the meanest and toughest SOBs around. You have to be bloodthirsty, violent, extreme. I don't think you can handle that. Can you?","Los Khans solo aceptan a la gente ruda y fuerte aquí. Debes de ser violenta y sádica. No creo que puedas con eso. ¿Puedes?"
"The Master is my legs and arms, child.","El Maestro es mis brazos y mis piernas, niña"
"The Master protects me, human!","¡El Maestro me protege, humana!"
"The Medic Perk will give you a one-time bonus of +20% to the First Aid and Doctor skills. Healing skills are a good thing.","La Ventaja Doctora te concede un bono del 20%, de un solo uso, en las habilidades de Primeros Auxilios y Médico. Siempre viene bien tener habilidades curativas."
"The Pathfinder is better able to find the shortest route. With this Perk, your travel time on the World Map is reduced by 25% for each level.","La Rastreadora es la mejor encontrando la ruta más corta. Con esta Ventaja tu tiempo de viaje en el Mapa del Mundo se reduce en 25% por cada nivel."
"The Slayer walks the earth! In hand-to-hand combat, all of your hits are upgraded to critical hits - causing destruction and mayhem.","¡La Asesina anda suelta! En el combate cuerpo a cuerpo, todos tus golpes se convertirán en impactos críticos... sembrando destrucción y muerte a tu alrededor."
"The crew's almost ready. I heard there was some trouble around L.A. Boneyard recently - watch your back.","El equipo está casi listo. He oído que ha habido problemas por el Cementerio últimamente... ten mucho cuidado."
"The dog seems to think you are his owner.","Parece que el perro cree que eres su dueña."
"The food is not cooked yet. You'll get sick if you eat it raw.","La comida aún no está cocinada. Te pondrás mala si la comes cruda."
"The intruder must be destroyed!","¡La intrusa ha de ser destruida!"
"The lesson finishes in six hours. You feel exhausted.","La clase dura seis horas. Estás agotada."
"The mark of the Explorer is to search out new and interesting locations. With this Perk, you have a greater chance of finding special places or people.","El destino de toda Expedicionaria es buscar lugares nuevos e interesantes. Con esta Ventaja tu posibilidad de encontrar gente y lugares especiales aumenta."
"The mind simply boggles at your intellect. Why the legions haven't bowed down at your feet by now, I'll never understand. Guards, take this idiot away!","Tu intelecto es sorprendente. Por qué no tienes legiones de seguidores en este momento es algo que nunca comprenderé. ¡Guardias, sacad de aquí a esta idiota!"
"The more I know, the more sure I'll be.","Cuanto más sepa, más segura estaré."
"Then I want to be a Blade.","Entonces quiero ser una Navaja."
"Then you have been maligned, because the entire Boneyard tells horror stories about you. And I have no desire to find out if they're true. Goodbye.","Entonces has sido difamada, porque todo el Cementerio cuenta historias horrorosas sobre ti. Y no me apetece descubrir si son verdad. Adiós."
"There ain't any booze man! Life's a bigger bitch than Lasher! Now why don't you go find someone else to talk to you, you little puke? Get outta here!","¡No hay bebidas, tía! ¡La vida es mucho más perra que Fustigador! ¿Y ahora por qué no vas a buscar a otro con quien hablar, pequeña mamona? ¡Fuera de aquí!"
"There ain't nothing else to tell, and if you're smart, you don't wanna know!","¡No hay nada más que contar, y si eres lista preferirás no saberlo!"
"There comes a time when you must find the answers to life's questions yourself, and that time is now. Begone!","Llega un momento en el que debes encontrar por ti misma las respuestas a la vida, y ese momento ha llegado. ¡Ahora vete!"
"There is bleeding from your intestines and you have severe diarrhea. You feel bloated and are in intense agony.","Te sangran los intestinos y tienes una fuerte diarrea. Te sientes hinchada y sufres gran agonía."
"There were a few wise ones among the ancients who believed virtue is its own reward. That is my belief as well. Perhaps if more people shared this opinion, there would have been no need for the Holy Flame... Forgive me, but I have no patience for long conversation. There are other people who may instruct you better than I. Please excuse me.","Algunos sabios entre los antiguos creían que la virtud era su propia recompensa. Yo también lo creo. Si más gente compartiese esta opinión, no sería necesaria la Llama Sagrada... Perdóneme, pero no tengo paciencia para mantener conversaciones largas. Otros podrían informarla mejor. Por favor, discúlpeme."
"There you are, you thieving little snake! I almost didn't recognize you. Guards!","¡Aquí estás, víbora, ladrona! Casi no te conocía. ¡Guardias!"
"There you are. It's been more than a week since you last stopped in. You must stay in touch; you ARE my favorite customer!","Aquí estás. Ha pasado más de una semana desde la última vez que estuviste aquí. Debemos mantenernos en contacto, ¡ERES mi clienta favorita!"
"There you go. Glad you are on our side Initiate.","Aquí tienes. Me alegro de tenerte con nosotros, Iniciada."
"There'd better be a killer reason for standin' in my shadow. Does 'next on the menu' ring a bell for ya...  normie.","Más vale que tengas una razón de peso para pisar mi sombra. Supongo que te suena lo de ""vas a ser mi postre..."" normalucha."
"There's Lasher. Man, stay away from him! He's completely... I dunno if I can really describe him. Imagine the one person on Earth you don't wanna know. Lasher's worse.","Ahí está Fustigador. Tía, ¡aléjate de él! Está completamente... No sé si puedo describirlo. Imagina a una persona en el mundo que no querrías conocer. Fustigador es peor."
"These are troubled times, Initiate! Mutants are on the march, attacking caravans! We need information, and we need it now! Nothing to report is not good enough!","Son tiempos difíciles, ¡Iniciada! ¡Los mutantes ya están atacando las caravanas! ¡Necesitamos información y la necesitamos ahora! ¡Ninguna información es lo suficientemente buena!"
"They will pass right through an area known to be attacked by raiders. They charge a lot so they can hire extra hands. The pay's great, but you have to be alive to spend it, right?","Pasan exactamente por un área que acaba de ser atacada por los saqueadores. Cobran mucho, así que pueden contratar a más gente. La paga es muy buena pero tienes que seguir viva para gastarlo, ¿entiendes?"
"They're mutants, you fool! Of course they're strong!","¡Son mutantes, loca! ¡Por supuesto que son fuertes!"
"Think the Master would be happy if you killed a vault-dweller?","¿Crees que el Maestro estará contento si matas a una habitante de un Refugio?"
"Think you're some kinda hot shot, huh?","Crees que eres una tipa peligrosa, ¿eh?"
"Think? Who needs to think? I'll just show you what I can do. Die, asshole!","¿Pensar? ¿Quién necesita pensar? Te demostraré lo que puedo hacer. ¡Muere, cabrona!"
"This Perk allows you to pull the trigger a little more faster, and still remain as accurate as before. Each ranged weapon attack costs 1 AP less to perform.","Esta Ventaja te hace más rápida con el gatillo, sin perjudicar tu estupenda puntería. Te cuesta 1 PA menos llevar a cabo cada ataque con armas a distancia."
"This ain't like shooting mole rats, pal.","Esto no es como disparar a las ratas topo, amiga"
"This ain't over, friend.","Esto no se ha acabado, amiga"
"This battle is meaningless. Farewell, fool!","Esta batalla no tiene sentido. ¡Adiós, tonta!"
"This is how we handle fools!","¡Así es como tratamos a las idiotas!"
